"FacilityID","Name","Street","City","State","ZipCode","Geo","YelpID","YelpPhone","YelpCategories","YelpURL","YelpImageUrl","YelpRaiting","YelpReviewCount","Score","InspectionDate"
11596634,"Hoeks Pizza","511 E 6TH ST","AUSTIN","TX",78701,"(30.266425604042055, -97.73789807147121)","XovcJKKqZJ2js8LpO9An-g","+15123736626","Pizza","https://www.yelp.com/biz/hoeks-death-metal-pizza-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media2.fl.yelpcdn.com/bphoto/sU5hOOWjRl4Ztm0NZcOFaA/o.jpg",4,114,94,"2018-04-12"
11356592,"Austin Achieve Public Schools","5908 MANOR RD","AUSTIN","TX",78723,"(30.307435739875626, -97.68024982910116)","Not Found","","","","","","",100,"2018-10-10"
11359315,"Gold's Gym Austin Downtown","115 E 6TH ST","AUSTIN","TX",78701,"(30.26767925594551, -97.74213023133171)","7kMfWYLhuy4psjPBe8QYWA","+15124790044","Gyms,Trainers,Yoga","https://www.yelp.com/biz/golds-gym-austin-11?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media1.fl.yelpcdn.com/bphoto/8CnWuACXINa-5nWU78Lfiw/o.jpg",3,102,94,"2018-06-26"
11359811,"Austin Y.M.B.L Sunshine Camps","5001 SHAW DR","MARBLE FALLS","TX",78654,"(30.497354800912298, -98.11350475016499)","Not Found","","","","","","",95,"2018-06-13"
11360758,"MN - Cafe 290","11011 E US 290 HWY","MANOR","TX",78653,"(30.348458657783386, -97.55841116167777)","FsSbzJi_AQKrrUq2kpjLwQ","+15122788780","American (Traditional),Southern","https://www.yelp.com/biz/cafe-290-manor?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media4.fl.yelpcdn.com/bphoto/wBItOwV08qGSRIQeATL1tg/o.jpg",4,167,87,"2018-07-16"
11365448,"My Sweet Austin","910 W 25TH ST","AUSTIN","TX",78705,"(30.289645217040174, -97.7473569759621)","HVCi-n45fm6zov3VHbLoLQ","+15129940652","Desserts,Custom Cakes,Patisserie/Cake Shop","https://www.yelp.com/biz/my-sweet-austin-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media2.fl.yelpcdn.com/bphoto/ZddQByM6L-nULyokyi6NTw/o.jpg",5,53,96,"2018-09-07"
11360105,"Mr. Sam's Food Mart","6515 AIRPORT BLVD","AUSTIN","TX",78752,"(30.330143784193137, -97.71509261815717)","Not Found","","","","","","",91,"2018-07-11"
11367549,"Cigna","11200 LAKELINE BLVD","AUSTIN","TX",78717,"(30.48063354667729, -97.79779282646614)","Not Found","","","","","","",100,"2018-09-13"
11367975,"H & C Food Service","1914 GUADALUPE ST","AUSTIN","TX",78705,"(30.28274577989479, -97.74240830265406)","Not Found","","","","","","",77,"2018-08-03"
11372778,"Cici's Pizza","9717 N LAMAR BLVD","AUSTIN","TX",78753,"(30.365835279889524, -97.69454105243369)","Not Found","","","","","","",98,"2018-05-29"
